property_type_location,Property,price,relative_url,property_status,last_updated,num_bedrooms,num_bathrooms,num_parking,area,furnishing,counting,scraped_date
House and Lot • Makati,"San Lorenzo Village, Makati","Php 400,000,000",https://www.hoppler.com.ph/makati-san-lorenzo-village-rs4645582,Available,"February 21, 2023",4,4,2,500 sqm,Semi-Furnished,25,2024-10-26
House and Lot • Makati,"Magallanes, Makati","Php 115,000,000",https://www.hoppler.com.ph/makati-magallanes-rs4630282,Available,"November 19, 2022",3,4,2,400 sqm,Semi-Furnished,26,2024-10-26
House and Lot • Makati,"Bel-Air Village, Makati","Php 350,000,000",https://www.hoppler.com.ph/makati-bel-air-village-rs4660282,Available,"November 11, 2022",4,4,2,800 sqm,,27,2024-10-26
House and Lot • Makati,"Dasmariñas Village, Makati","Php 1,100,000,000",https://www.hoppler.com.ph/makati-dasmarinas-village-rs4645882,Available,"November 12, 2023",4,5,8,"1,000 sqm",Semi-Furnished,28,2024-10-26
House and Lot • Makati,"Bel-Air Village, Makati","Php 377,360,000",https://www.hoppler.com.ph/makati-bel-air-village-rs4822682,Available,"November 14, 2023",4,4,4,712 sqm,,29,2024-10-26
House and Lot • Makati,"Forbes Park, Makati","Php 1,023,000,000",https://www.hoppler.com.ph/makati-forbes-park-rs4820982,Available,"January 17, 2024",4,5,3,"1,503 sqm",,30,2024-10-26
House and Lot • Makati,"Forbes Park, Makati","Php 2,071,200,000",https://www.hoppler.com.ph/makati-forbes-park-rs3734282,Available,"January 17, 2024",6,6,6,"2,700 sqm",,31,2024-10-26
House and Lot • Makati,"Bel-Air Village, Makati","Php 215,430,000",https://www.hoppler.com.ph/makati-bel-air-village-rs4845182,Available,"January 22, 2024",3,3,3,450 sqm,Semi-Furnished,32,2024-10-26
House and Lot • Makati,"Urdaneta Village, Makati","Php 768,200,000",https://www.hoppler.com.ph/makati-urdaneta-village-rs4822582,Available,"January 29, 2024",4,4,2,800 sqm,,33,2024-10-26
House and Lot • Makati,"Magallanes, Makati","Php 180,000,000",https://www.hoppler.com.ph/makati-magallanes-rs0219582,Available,"January 23, 2024",4,3,2,280 sqm,,34,2024-10-26
House and Lot • Makati,"Magallanes, Makati","Php 200,000,000",https://www.hoppler.com.ph/makati-magallanes-rs4781582,Available,"February 23, 2024",6,6,6,500 sqm,,35,2024-10-26
Condominium • Makati,"Tower 1, Greenbelt Hamilton, Legazpi Village, Makati","Php 10,000,000",https://www.hoppler.com.ph/makati-legaspi-village-greenbelt-hamilton-rs3910681,Available,"July 18, 2024",1,1,1,41 sqm,Semi-Furnished,36,2024-10-26
House and Lot • Makati,"Dasmariñas Village, Makati","Php 794,000,000",https://www.hoppler.com.ph/makati-dasmarinas-village-rs4867482,Available,"March 21, 2024",3,4,4,750 sqm,Semi-Furnished,37,2024-10-26
House and Lot • Makati,"Dasmariñas Village, Makati","Php 700,000,000",https://www.hoppler.com.ph/makati-dasmarinas-village-rs4860382,Available,"March 1, 2024",5,5,5,800 sqm,Semi-Furnished,38,2024-10-26
Condominium • Makati,"Tower 2, The Grand Midori Makati, Legazpi Village, Makati","Php 6,000,000",https://www.hoppler.com.ph/makati-legaspi-village-the-grand-midori-makati-rs4801281,Available,"July 18, 2024",1,1,1,35 sqm,Fully Furnished,39,2024-10-26
Condominium • Makati,"Tower 2, Garden Towers, Legazpi Village, Makati","Php 25,000,000",https://www.hoppler.com.ph/makati-legaspi-village-garden-towers-rs4907981,Available,"July 19, 2024",1,1,1,71 sqm,Semi-Furnished,40,2024-10-26
Condominium • Makati,"Alpha Salcedo, Salcedo Village, Makati","Php 4,000,000",https://www.hoppler.com.ph/makati-salcedo-village-alpha-salcedo-rs4906681,Available,"July 19, 2024",1,1,1,31 sqm,Fully Furnished,41,2024-10-26
Condominium • Makati,"Kirov at The Proscenium, Rockwell Center, Rockwell Center, Makati","Php 89,000,000",https://www.hoppler.com.ph/makati-rockwell-center-kirov-at-the-proscenium-rockwell-center-rs4571881,Available,"July 19, 2024",3,3,2,223 sqm,Fully Furnished,42,2024-10-26
House and Lot • Makati,"Magallanes, Makati","Php 103,550,000",https://www.hoppler.com.ph/makati-magallanes-rs4728582,Available,"April 14, 2023",3,4,2,300 sqm,,43,2024-10-26
House and Lot • Makati,"San Lorenzo Village, Makati","Php 370,000,000",https://www.hoppler.com.ph/makati-san-lorenzo-village-rs3956682,Available,"January 25, 2022",5,5,1,"1,362 sqm",Semi-Furnished,44,2024-10-26
House and Lot • Makati,"Magallanes, Makati","Php 103,550,000",https://www.hoppler.com.ph/makati-magallanes-rs4728682,Available,"April 14, 2023",4,4,2,300 sqm,,45,2024-10-26
House and Lot • Makati,"Magallanes, Makati","Php 270,000,000",https://www.hoppler.com.ph/makati-magallanes-rs4737182,Available,"May 3, 2023",4,4,3,400 sqm,,46,2024-10-26
House and Lot • Makati,"Dasmariñas Village, Makati","Php 650,000,000",https://www.hoppler.com.ph/makati-dasmarinas-village-rs4800382,Available,"September 25, 2023",4,4,3,600 sqm,,47,2024-10-26
House and Lot • Makati,"Urdaneta Village, Makati","Php 650,000,000",https://www.hoppler.com.ph/makati-urdaneta-village-rs4783982,Available,"August 9, 2023",3,3,2,"1,091 sqm",Semi-Furnished,48,2024-10-26
House and Lot • Makati,"Bel-Air Village, Makati","Php 273,000,000",https://www.hoppler.com.ph/makati-bel-air-village-rs4795682,Available,"October 4, 2023",4,4,2,300 sqm,,49,2024-10-26
House and Lot • Makati,"Pio del Pilar, Makati","Php 4,773,000",https://www.hoppler.com.ph/makati-pio-del-pilar-rs4468182,Available,"January 5, 2022",1,1,1,25 sqm,,50,2024-10-26
House and Lot • Makati,"Bel-Air Village, Makati","Php 320,000,000",https://www.hoppler.com.ph/makati-bel-air-village-rs4816082,Available,"October 26, 2023",4,4,3,350 sqm,,51,2024-10-26
House and Lot • Makati,"Dasmariñas Village, Makati","Php 824,600,000",https://www.hoppler.com.ph/makati-dasmarinas-village-rs4821082,Available,"November 6, 2023",4,5,4,"1,178 sqm",,52,2024-10-26
House and Lot • Makati,"Dasmariñas Village, Makati","Php 1,300,000,000",https://www.hoppler.com.ph/makati-dasmarinas-village-rs4645782,Available,"November 12, 2023",5,5,4,800 sqm,Semi-Furnished,53,2024-10-26
Condominium • Makati,"East Tower, Amorsolo East, Rockwell Center, Makati","Php 75,000,000",https://www.hoppler.com.ph/makati-rockwell-center-amorsolo-east-rs2235381,Available,"July 19, 2024",3,3,2,184 sqm,Semi-Furnished,54,2024-10-26
Condominium • Makati,"Cityland Pasong Tamo, Pio del Pilar, Makati","Php 10,000,000",https://www.hoppler.com.ph/makati-pio-del-pilar-cityland-pasong-tamo-rs4786681,Available,"May 31, 2024",3,3,1,88 sqm,Semi-Furnished,55,2024-10-26
Condominium • Makati,"Alpha Salcedo, Salcedo Village, Makati","Php 6,500,000",https://www.hoppler.com.ph/makati-salcedo-village-alpha-salcedo-rs4805981,Available,"June 7, 2024",1,1,1,46 sqm,Fully Furnished,56,2024-10-26
Condominium • Makati,"Tower 1, The Salcedo Park, Salcedo Village, Makati","Php 34,000,000",https://www.hoppler.com.ph/makati-salcedo-village-the-salcedo-park-rs4811481,Available,"June 7, 2024",3,3,2,179 sqm,Fully Furnished,57,2024-10-26
Condominium • Makati,"Tower 2, Park Terraces, San Lorenzo Village, Makati","Php 42,000,000",https://www.hoppler.com.ph/makati-san-lorenzo-village-park-terraces-rs4878081,Available,"June 18, 2024",2,2,1,103 sqm,Fully Furnished,58,2024-10-26
Condominium • Makati,"Tower 2, Paseo Parkview Suites, Salcedo Village, Makati","Php 5,600,000",https://www.hoppler.com.ph/makati-salcedo-village-paseo-parkview-suites-rs4728481,Available,"June 14, 2024",1,1,1,37 sqm,Fully Furnished,59,2024-10-26
Condominium • Makati,"Shang Salcedo Place, Salcedo Village, Makati","Php 30,000,000",https://www.hoppler.com.ph/makati-salcedo-village-shang-salcedo-place-rs4895881,Available,"July 1, 2024",2,2,1,104 sqm,Semi-Furnished,60,2024-10-26
Condominium • Makati,"Two Salcedo Place, Salcedo Village, Makati","Php 33,000,000",https://www.hoppler.com.ph/makati-salcedo-village-two-salcedo-place-rs4857881,Available,"July 4, 2024",2,2,2,140 sqm,Semi-Furnished,61,2024-10-26
Condominium • Makati,"Twin Towers, Urdaneta Village, Makati","Php 75,000,000",https://www.hoppler.com.ph/makati-urdaneta-village-twin-towers-rs4548681,Available,"June 24, 2024",3,3,2,270 sqm,Semi-Furnished,62,2024-10-26
Condominium • Makati,"Kroma Tower, Legazpi Village, Makati","Php 6,000,000",https://www.hoppler.com.ph/makati-legaspi-village-kroma-tower-rs4900081,Available,"June 25, 2024",1,1,1,27 sqm,,63,2024-10-26
Condominium • Makati,"Brio Tower, Guadalupe Viejo, Makati","Php 14,500,000",https://www.hoppler.com.ph/makati-guadalupe-viejo-brio-tower-rs4149781,Available,"June 20, 2024",3,3,1,84 sqm,,64,2024-10-26
Condominium • Makati,"Brio Tower, Guadalupe Viejo, Makati","Php 3,800,000",https://www.hoppler.com.ph/makati-guadalupe-viejo-brio-tower-rs4898781,Available,"June 19, 2024",1,1,1,24 sqm,Fully Furnished,65,2024-10-26
Condominium • Makati,"Shang Salcedo Place, Salcedo Village, Makati","Php 35,000,000",https://www.hoppler.com.ph/makati-salcedo-village-shang-salcedo-place-rs2233081,Available,"July 4, 2024",2,2,3,104 sqm,Fully Furnished,66,2024-10-26
Condominium • Makati,"Point Tower, Park Terraces, San Lorenzo Village, Makati","Php 78,000,000",https://www.hoppler.com.ph/makati-san-lorenzo-village-park-terraces-rs2097381,Available,"July 6, 2024",4,4,2,220 sqm,Fully Furnished,67,2024-10-26
Condominium • Makati,"Manila Tower, The Residences at Greenbelt, Legazpi Village, Makati","Php 25,000,000",https://www.hoppler.com.ph/makati-legaspi-village-the-residences-at-greenbelt-rs4662981,Available,"July 9, 2024",1,2,1,81 sqm,,68,2024-10-26
Condominium • Makati,"Edades Towers and Garden, 8 Rockwell, Rockwell Center, Makati","Php 41,000,000",https://www.hoppler.com.ph/makati-rockwell-center-8-rockwell-rs4873581,Available,"April 16, 2024",2,2,2,111 sqm,Fully Furnished,69,2024-10-26
Condominium • Makati,"Cityland Pasong Tamo, Pio del Pilar, Makati","Php 10,000,000",https://www.hoppler.com.ph/makati-pio-del-pilar-cityland-pasong-tamo-rs4811381,Available,"May 31, 2024",3,3,1,88 sqm,,70,2024-10-26
Condominium • Makati,"Two Roxas Tower, Two Roxas Triangle, Salcedo Village, Makati","Php 150,000,000",https://www.hoppler.com.ph/makati-salcedo-village-two-roxas-triangle-rs4644881,Available,"April 22, 2024",3,3,3,303 sqm,Fully Furnished,71,2024-10-26
Condominium • Makati,"Laguna Tower, The Residences at Greenbelt, Legazpi Village, Makati","Php 39,000,000",https://www.hoppler.com.ph/makati-legaspi-village-the-residences-at-greenbelt-rs4580081,Available,"May 6, 2024",2,3,2,134 sqm,Semi-Furnished,72,2024-10-26
Condominium • Makati,"Tower A, Jazz Residences, Bel-Air Village, Makati","Php 16,500,000",https://www.hoppler.com.ph/makati-bel-air-village-jazz-residences-rs4840881,Available,"April 23, 2024",2,1,2,63 sqm,Semi-Furnished,73,2024-10-26
Condominium • Makati,"Tower 3, The Lerato, Bel-Air Village, Makati","Php 19,500,000",https://www.hoppler.com.ph/makati-bel-air-village-the-lerato-rs4874981,Available,"April 19, 2024",2,2,2,86 sqm,Fully Furnished,74,2024-10-26
Condominium • Makati,"Ellis Tower, The Ellis, Salcedo Village, Makati","Php 19,000,000",https://www.hoppler.com.ph/makati-salcedo-village-the-ellis-rs4885481,Available,"May 9, 2024",1,1,1,63 sqm,Semi-Furnished,75,2024-10-26
Condominium • Makati,"One Central, Salcedo Village, Makati","Php 6,800,000",https://www.hoppler.com.ph/makati-salcedo-village-one-central-rs4883581,Available,"May 7, 2024",1,1,1,32 sqm,Fully Furnished,76,2024-10-26
Condominium • Makati,"Lincoln at The Proscenium, Rockwell Center, Rockwell Center, Makati","Php 48,000,000",https://www.hoppler.com.ph/makati-rockwell-center-lincoln-at-the-proscenium-rockwell-center-rs4883481,Available,"May 7, 2024",2,2,1,119 sqm,Semi-Furnished,77,2024-10-26
Condominium • Makati,"Tower 2, Solstice, Carmona, Makati","Php 17,500,000",https://www.hoppler.com.ph/makati-carmona-solstice-rs4884381,Available,"May 8, 2024",1,2,2,57 sqm,,78,2024-10-26
Condominium • Makati,"Edades Tower and Garden Villas, Rockwell Center, Makati","Php 50,000,000",https://www.hoppler.com.ph/makati-rockwell-center-edades-tower-and-garden-villas-rs4633081,Available,"May 2, 2024",2,2,1,120 sqm,Semi-Furnished,79,2024-10-26
Condominium • Makati,"Mosaic at Greenbelt, Legazpi Village, Makati","Php 18,900,000",https://www.hoppler.com.ph/makati-legaspi-village-mosaic-at-greenbelt-rs4433581,Available,"May 11, 2024",1,2,1,94 sqm,Fully Furnished,80,2024-10-26
Condominium • Makati,"Two Roxas Triangle, Salcedo Village, Makati","Php 125,000,000",https://www.hoppler.com.ph/makati-salcedo-village-two-roxas-triangle-rs4883881,Available,"May 10, 2024",3,3,3,304 sqm,Fully Furnished,81,2024-10-26
Condominium • Makati,"Shang Grand Tower, The Shang Grand Tower, Legazpi Village, Makati","Php 750,000,000",https://www.hoppler.com.ph/makati-legaspi-village-the-shang-grand-tower-rs4885081,Available,"May 8, 2024",4,3,3,275 sqm,Fully Furnished,82,2024-10-26
Condominium • Makati,"BSA Mansion Tower, BSA Mansion, Legazpi Village, Makati","Php 7,500,000",https://www.hoppler.com.ph/makati-legaspi-village-bsa-mansion-rs4887381,Available,"May 11, 2024",1,1,1,45 sqm,Semi-Furnished,83,2024-10-26
Condominium • Makati,"Tower 1, The Salcedo Park, Salcedo Village, Makati","Php 34,000,000",https://www.hoppler.com.ph/makati-salcedo-village-the-salcedo-park-rs4870581,Available,"May 14, 2024",3,3,2,179 sqm,Semi-Furnished,84,2024-10-26
Condominium • Makati,"East Tower, One Rockwell, Rockwell Center, Makati","Php 19,500,000",https://www.hoppler.com.ph/makati-rockwell-center-one-rockwell-rs4445681,Available,"May 16, 2024",1,1,1,70 sqm,Semi-Furnished,85,2024-10-26
Condominium • Makati,"Tower 1, Park Terraces, San Lorenzo Village, Makati","Php 68,000,000",https://www.hoppler.com.ph/makati-san-lorenzo-village-park-terraces-rs3410681,Available,"May 13, 2024",2,2,1,155 sqm,Fully Furnished,86,2024-10-26
Condominium • Makati,"Liroville Condominium, Salcedo Village, Makati","Php 30,000,000",https://www.hoppler.com.ph/makati-salcedo-village-liroville-condominium-rs4890681,Available,"May 21, 2024",3,2,1,186 sqm,Semi-Furnished,87,2024-10-26
Condominium • Makati,"San Lorenzo Place, San Lorenzo Village, Makati","Php 4,800,000",https://www.hoppler.com.ph/makati-san-lorenzo-village-san-lorenzo-place-rs4893681,Available,"May 29, 2024",1,1,1,27 sqm,Fully Furnished,88,2024-10-26
Condominium • Makati,"Discovery Primea Tower, Discovery Primea, Urdaneta Village, Makati","Php 185,000,000",https://www.hoppler.com.ph/makati-urdaneta-village-discovery-primea-rs4892881,Available,"May 27, 2024",3,3,3,382 sqm,,89,2024-10-26
Condominium • Makati,"North Tower, Joya Lofts and Towers, Rockwell Center, Makati","Php 12,000,000",https://www.hoppler.com.ph/makati-rockwell-center-joya-lofts-and-towers-rs4607181,Available,"February 22, 2024",1,1,1,33 sqm,Fully Furnished,90,2024-10-26
Condominium • Makati,"Edades Suites, Poblacion, Makati","Php 150,000,000",https://www.hoppler.com.ph/makati-poblacion-edades-suites-rs4889881,Available,"May 16, 2024",3,3,3,243 sqm,Semi-Furnished,91,2024-10-26
Condominium • Makati,"Edades Tower and Garden Villas, Rockwell Center, Makati","Php 82,000,000",https://www.hoppler.com.ph/makati-rockwell-center-edades-tower-and-garden-villas-rs4683981,Available,"February 24, 2024",3,3,2,190 sqm,Fully Furnished,92,2024-10-26
Condominium • Makati,"Tower 1, The Columns Legaspi, Legazpi Village, Makati","Php 12,900,000",https://www.hoppler.com.ph/makati-legaspi-village-the-columns-legaspi-rs3203881,Available,"February 22, 2024",2,2,1,66 sqm,Fully Furnished,93,2024-10-26
Condominium • Makati,"Tower A, Jazz Residences, Bel-Air Village, Makati","Php 6,000,000",https://www.hoppler.com.ph/makati-bel-air-village-jazz-residences-rs4859981,Available,"March 1, 2024",1,1,1,33 sqm,Fully Furnished,94,2024-10-26
Condominium • Makati,"Gramercy Residences Tower, The Gramercy Residences, Poblacion, Makati","Php 10,000,000",https://www.hoppler.com.ph/makati-poblacion-the-gramercy-residences-rs4860081,Available,"March 1, 2024",1,1,1,43 sqm,Fully Furnished,95,2024-10-26
Condominium • Makati,"Makati Bel-Air Condominium, Poblacion, Makati","Php 33,000,000",https://www.hoppler.com.ph/makati-poblacion-makati-bel-air-condominium-rs4820381,Available,"February 29, 2024",3,3,1,215 sqm,Fully Furnished,96,2024-10-26
Condominium • Makati,"Point Tower, Park Terraces, San Lorenzo Village, Makati","Php 43,000,000",https://www.hoppler.com.ph/makati-san-lorenzo-village-park-terraces-rs4754881,Available,"February 28, 2024",2,2,1,123 sqm,Fully Furnished,97,2024-10-26
Condominium • Makati,"Tower 1, Park Terraces, San Lorenzo Village, Makati","Php 38,000,000",https://www.hoppler.com.ph/makati-san-lorenzo-village-park-terraces-rs4821281,Available,"February 29, 2024",2,2,1,103 sqm,,98,2024-10-26
Condominium • Makati,"Rizal Tower, Rizal Tower, Rockwell Center, Makati","Php 86,000,000",https://www.hoppler.com.ph/makati-rockwell-center-rizal-tower-rs4700481,Available,"February 29, 2024",3,3,3,284 sqm,,99,2024-10-26
Condominium • Makati,"Tower 2, Park Terraces, San Lorenzo Village, Makati","Php 38,000,000",https://www.hoppler.com.ph/makati-san-lorenzo-village-park-terraces-rs4859581,Available,"March 1, 2024",2,2,1,113 sqm,Fully Furnished,100,2024-10-26
Condominium • Makati,"Valero Plaza, Salcedo Village, Makati","Php 12,000,000",https://www.hoppler.com.ph/makati-salcedo-village-valero-plaza-rs4771981,Available,"March 11, 2024",2,2,1,64 sqm,Semi-Furnished,101,2024-10-26
Condominium • Makati,"Tower 1, Park Terraces, San Lorenzo Village, Makati","Php 36,000,000",https://www.hoppler.com.ph/makati-san-lorenzo-village-park-terraces-rs4689381,Available,"January 23, 2024",2,2,1,103 sqm,Fully Furnished,102,2024-10-26
Condominium • Makati,"Kirov at The Proscenium, Rockwell Center, Rockwell Center, Makati","Php 92,000,000",https://www.hoppler.com.ph/makati-rockwell-center-kirov-at-the-proscenium-rockwell-center-rs4847981,Available,"March 7, 2024",3,3,2,241 sqm,Fully Furnished,103,2024-10-26
Condominium • Makati,"Senta, Legazpi Village, Makati","Php 7,800,000",https://www.hoppler.com.ph/makati-legaspi-village-senta-rs4864681,Available,"March 14, 2024",1,1,1,35 sqm,Fully Furnished,104,2024-10-26
Condominium • Makati,"Shang Salcedo Place, Salcedo Village, Makati","Php 32,000,000",https://www.hoppler.com.ph/makati-salcedo-village-shang-salcedo-place-rs3664881,Available,"March 20, 2024",2,2,1,104 sqm,Fully Furnished,105,2024-10-26
Condominium • Makati,"Signa Designer Residences, Salcedo Village, Makati","Php 10,000,000",https://www.hoppler.com.ph/makati-salcedo-village-signa-designer-residences-rs4846781,Available,"March 12, 2024",1,1,1,45 sqm,Fully Furnished,106,2024-10-26
Condominium • Makati,"west Tower, One Rockwell, Rockwell Center, Makati","Php 28,000,000",https://www.hoppler.com.ph/makati-rockwell-center-one-rockwell-rs4784581,Available,"January 20, 2024",2,2,1,88 sqm,Fully Furnished,107,2024-10-26
Condominium • Makati,"Signa Designer Residences, Salcedo Village, Makati","Php 12,000,000",https://www.hoppler.com.ph/makati-salcedo-village-signa-designer-residences-rs4847581,Available,"January 29, 2024",1,1,1,45 sqm,Semi-Furnished,108,2024-10-26
Condominium • Makati,"Tower 1, The Columns Ayala, Bel-Air Village, Makati","Php 8,300,000",https://www.hoppler.com.ph/makati-bel-air-village-the-columns-ayala-rs4653381,Available,"January 24, 2024",1,1,1,49 sqm,Semi-Furnished,109,2024-10-26
Condominium • Makati,"LPL Center, Salcedo Village, Makati","Php 30,000,000",https://www.hoppler.com.ph/makati-salcedo-village-lpl-center-rs4767681,Available,"January 23, 2024",3,3,1,270 sqm,Semi-Furnished,110,2024-10-26
Condominium • Makati,"Signa Designer Residences, Salcedo Village, Makati","Php 10,000,000",https://www.hoppler.com.ph/makati-salcedo-village-signa-designer-residences-rs4847681,Available,"January 29, 2024",1,1,1,46 sqm,Fully Furnished,111,2024-10-26
Condominium • Makati,"Lincoln Tower, Lincoln at The Proscenium, Rockwell Center, Rockwell Center, Makati","Php 12,500,000",https://www.hoppler.com.ph/makati-rockwell-center-lincoln-at-the-proscenium-rockwell-center-rs4850581,Available,"February 3, 2024",1,1,1,33 sqm,Semi-Furnished,112,2024-10-26
Condominium • Makati,"Kingswood Towers, Tejeros, Makati","Php 20,000,000",https://www.hoppler.com.ph/makati-tejeros-kingswood-towers-rs2280381,Available,"February 4, 2024",3,4,1,154 sqm,,113,2024-10-26
Condominium • Makati,"A.Venue Residences, Poblacion, Makati","Php 5,577,600",https://www.hoppler.com.ph/makati-poblacion-avenue-residences-rs4852781,Available,"February 5, 2024",1,1,1,39 sqm,Fully Furnished,114,2024-10-26
Condominium • Makati,"Antel Spa Residences, Poblacion, Makati","Php 4,179,000",https://www.hoppler.com.ph/makati-poblacion-antel-spa-residences-rs4852981,Available,"February 5, 2024",1,1,1,29 sqm,Fully Furnished,115,2024-10-26
Condominium • Makati,"A.Venue Residences, Poblacion, Makati","Php 6,116,600",https://www.hoppler.com.ph/makati-poblacion-avenue-residences-rs4853081,Available,"February 5, 2024",1,1,1,43 sqm,Fully Furnished,116,2024-10-26
Condominium • Makati,"Lincooln Tower, Lincoln at The Proscenium, Rockwell Center, Rockwell Center, Makati","Php 11,200,000",https://www.hoppler.com.ph/makati-rockwell-center-lincoln-at-the-proscenium-rockwell-center-rs4850681,Available,"February 5, 2024",1,1,1,33 sqm,Fully Furnished,117,2024-10-26
Condominium • Makati,"Tower A, Kingswood Towers, San Lorenzo Village, Makati","Php 20,000,000",https://www.hoppler.com.ph/makati-san-lorenzo-village-kingswood-towers-rs4853681,Available,"February 6, 2024",4,4,4,77 sqm,Semi-Furnished,118,2024-10-26
